Hugh L. White,White,Hugh,L.,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Webster,Webster,Daniel,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie P. Mangum,Mangum,Willie,P.,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James K. Polk,Polk,James,K.,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zachary Taylor,Taylor,Zachary,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Cass,Cass,Lewis,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin Pierce,Pierce,Franklin,,,,,,,,,,,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winfield Scott,Scott,Winfield,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Buchanan,Buchanan,James,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John C. Frémont,Frémont,John C.,C.,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millard Fillmore,Fillmore,Millard,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Lincoln,Lincoln,Abraham,,,,,,,,,,,,,,,,,,,,180,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen A. Douglas,Douglas,Stephen,A.,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John C. Breckinridge,Breckinridge,John,C.,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bell,Bell,John,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George C. McClellan,McClellan,George,C.,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulysses S. Grant,Grant,Ulysses,S.,,,,,,,,,,,,,,,,,,,,,214,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horatio Seymour,Seymour,Horatio,,,,,,,,,,,,,,,,,,,,,,71(80),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Davis,Davis,David,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Gratz Brown,Brown,Benjamin,Gratz,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas A. Hendricks,Hendricks,Thomas,A.,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles J. Jenkins,Jenkins,Charles,J.,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford B. Hayes,Hayes,Rutherford,B.,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samule J. Tilden,Tilden,Samuel,J.,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James A. Garfield,Garfield,James,A.,,,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winfield S. Hancock,Hancock,Winfield,S.,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grover Cleveland,Cleveland,Grover,,,,,,,,,,,,,,,,,,,,,,,,,,219,168,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James G. Blaine,Blaine,James,G.,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Harrison,Harrison,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,233,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James B. Weaver,Weaver,James,B.,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William McKinley,McKinley,William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William J. Bryan,Bryan,William,J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,155,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theodore Roosevelt,Roosevelt,Theodore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
